,pw,x1,x2,x3
0,1,cCEN_USA,cNDC_USA,"""="""
1,1,cCEN_Midwest,cNDC_Midwest,"""="""
2,1,cCEN_West,cNDC_USA,"""<"""
3,1,cCEN_South,cNDC_USA,"""<"""
4,1,cCEN_Northeast,cNDC_USA,"""<"""
5,1,cCEN_Northeast,cNDC_Northeast,"""<"""
6,1,cCEN_Midwest,cNDC_USA,"""<"""
7,1,cCEN_USA,cNDC_Southwest,""">"""
8,1,cCEN_USA,cNDC_Midwest,""">"""
9,1,cCEN_USA,cNDC_Southeast,""">"""
10,1,cCEN_USA,cNDC_West,""">"""
11,1,cCEN_USA,cNDC_Northeast,""">"""
12,1,cCEN_West,cNDC_West,""">"""
13,1,cCEN_South,cNDC_Southwest,"""><"""
14,1,cCEN_South,cNDC_Southeast,"""><"""
15,1,cCEN_South,cNDC_Northeast,"""><"""
16,1,cCEN_West,cNDC_Southwest,"""><"""
17,1,cCEN_West,cNDC_Southeast,"""><"""
18,1,cCEN_South,cNDC_Midwest,"""!"""
19,1,cCEN_South,cNDC_West,"""!"""
20,1,cCEN_Midwest,cNDC_Southwest,"""!"""
21,1,cCEN_West,cNDC_Midwest,"""!"""
22,1,cCEN_Northeast,cNDC_West,"""!"""
23,1,cCEN_Northeast,cNDC_Southeast,"""!"""
24,1,cCEN_Northeast,cNDC_Midwest,"""!"""
25,1,cCEN_Northeast,cNDC_Southwest,"""!"""
26,1,cCEN_Midwest,cNDC_Northeast,"""!"""
27,1,cCEN_Midwest,cNDC_West,"""!"""
28,1,cCEN_Midwest,cNDC_Southeast,"""!"""
29,1,cCEN_West,cNDC_Northeast,"""!"""
30,2,cCEN_USA,cNDC_USA,"""="""
31,2,cCEN_Midwest,cNDC_Midwest,"""="""
32,2,cCEN_West,cNDC_USA,"""<"""
33,2,cCEN_South,cNDC_USA,"""<"""
34,2,cCEN_Northeast,cNDC_USA,"""<"""
35,2,cCEN_Northeast,cNDC_Northeast,"""<"""
36,2,cCEN_Midwest,cNDC_USA,"""<"""
37,2,cCEN_USA,cNDC_Southwest,""">"""
38,2,cCEN_USA,cNDC_Midwest,""">"""
39,2,cCEN_USA,cNDC_Southeast,""">"""
40,2,cCEN_USA,cNDC_West,""">"""
41,2,cCEN_USA,cNDC_Northeast,""">"""
42,2,cCEN_West,cNDC_West,""">"""
43,2,cCEN_West,cNDC_Southeast,""">"""
44,2,cCEN_South,cNDC_Southwest,"""><"""
45,2,cCEN_South,cNDC_Northeast,"""><"""
46,2,cCEN_West,cNDC_Southwest,"""><"""
47,2,cCEN_South,cNDC_Midwest,"""!"""
48,2,cCEN_South,cNDC_Southeast,"""!"""
49,2,cCEN_South,cNDC_West,"""!"""
50,2,cCEN_Midwest,cNDC_Southwest,"""!"""
51,2,cCEN_West,cNDC_Midwest,"""!"""
52,2,cCEN_Northeast,cNDC_West,"""!"""
53,2,cCEN_Northeast,cNDC_Southeast,"""!"""
54,2,cCEN_Northeast,cNDC_Midwest,"""!"""
55,2,cCEN_Northeast,cNDC_Southwest,"""!"""
56,2,cCEN_Midwest,cNDC_Northeast,"""!"""
57,2,cCEN_Midwest,cNDC_West,"""!"""
58,2,cCEN_Midwest,cNDC_Southeast,"""!"""
59,2,cCEN_West,cNDC_Northeast,"""!"""
60,3,cCEN_USA,cNDC_USA,"""="""
61,3,cCEN_Midwest,cNDC_Midwest,"""="""
62,3,cCEN_West,cNDC_USA,"""<"""
63,3,cCEN_South,cNDC_USA,"""<"""
64,3,cCEN_Northeast,cNDC_USA,"""<"""
65,3,cCEN_Northeast,cNDC_Northeast,"""<"""
66,3,cCEN_Midwest,cNDC_USA,"""<"""
67,3,cCEN_USA,cNDC_Southwest,""">"""
68,3,cCEN_USA,cNDC_Midwest,""">"""
69,3,cCEN_USA,cNDC_Southeast,""">"""
70,3,cCEN_USA,cNDC_West,""">"""
71,3,cCEN_USA,cNDC_Northeast,""">"""
72,3,cCEN_South,cNDC_Southeast,""">"""
73,3,cCEN_West,cNDC_West,""">"""
74,3,cCEN_South,cNDC_Southwest,"""><"""
75,3,cCEN_South,cNDC_Northeast,"""><"""
76,3,cCEN_West,cNDC_Southwest,"""><"""
77,3,cCEN_South,cNDC_Midwest,"""!"""
78,3,cCEN_South,cNDC_West,"""!"""
79,3,cCEN_Midwest,cNDC_Southwest,"""!"""
80,3,cCEN_West,cNDC_Midwest,"""!"""
81,3,cCEN_West,cNDC_Southeast,"""!"""
82,3,cCEN_Northeast,cNDC_West,"""!"""
83,3,cCEN_Northeast,cNDC_Southeast,"""!"""
84,3,cCEN_Northeast,cNDC_Midwest,"""!"""
85,3,cCEN_Northeast,cNDC_Southwest,"""!"""
86,3,cCEN_Midwest,cNDC_Northeast,"""!"""
87,3,cCEN_Midwest,cNDC_West,"""!"""
88,3,cCEN_Midwest,cNDC_Southeast,"""!"""
89,3,cCEN_West,cNDC_Northeast,"""!"""
