,pw,x1,x2,x3
0,1,cCEN_West,cNDC_USA,"""<"""
1,1,cCEN_Northeast,cNDC_Northeast,"""<"""
2,1,cCEN_Northeast,cNDC_USA,"""<"""
3,1,cCEN_Midwest,cNDC_USA,"""<"""
4,1,cCEN_South,cNDC_USA,"""<"""
5,1,cCEN_USA,cNDC_USA,"""="""
6,1,cCEN_Midwest,cNDC_Midwest,"""="""
7,1,cCEN_USA,cNDC_Northeast,""">"""
8,1,cCEN_USA,cNDC_West,""">"""
9,1,cCEN_USA,cNDC_Midwest,""">"""
10,1,cCEN_USA,cNDC_Southwest,""">"""
11,1,cCEN_West,cNDC_West,""">"""
12,1,cCEN_West,cNDC_Southwest,"""><"""
13,1,cCEN_South,cNDC_Northeast,"""><"""
14,1,cCEN_South,cNDC_Southwest,"""><"""
15,1,cCEN_West,cNDC_Northeast,"""!"""
16,1,cCEN_West,cNDC_Midwest,"""!"""
17,1,cCEN_Northeast,cNDC_West,"""!"""
18,1,cCEN_Northeast,cNDC_Midwest,"""!"""
19,1,cCEN_Northeast,cNDC_Southwest,"""!"""
20,1,cCEN_Midwest,cNDC_Northeast,"""!"""
21,1,cCEN_Midwest,cNDC_West,"""!"""
22,1,cCEN_Midwest,cNDC_Southwest,"""!"""
23,1,cCEN_South,cNDC_West,"""!"""
24,1,cCEN_South,cNDC_Midwest,"""!"""
25,1,cCEN_USA,cNDC_Southeast,""">"""
26,1,cCEN_South,cNDC_Southeast,""">"""
27,1,cCEN_West,cNDC_Southeast,"""!"""
28,1,cCEN_Northeast,cNDC_Southeast,"""!"""
29,1,cCEN_Midwest,cNDC_Southeast,"""!"""
30,2,cCEN_West,cNDC_USA,"""<"""
31,2,cCEN_Northeast,cNDC_Northeast,"""<"""
32,2,cCEN_Northeast,cNDC_USA,"""<"""
33,2,cCEN_Midwest,cNDC_USA,"""<"""
34,2,cCEN_South,cNDC_USA,"""<"""
35,2,cCEN_USA,cNDC_USA,"""="""
36,2,cCEN_Midwest,cNDC_Midwest,"""="""
37,2,cCEN_USA,cNDC_Northeast,""">"""
38,2,cCEN_USA,cNDC_West,""">"""
39,2,cCEN_USA,cNDC_Midwest,""">"""
40,2,cCEN_USA,cNDC_Southwest,""">"""
41,2,cCEN_West,cNDC_West,""">"""
42,2,cCEN_West,cNDC_Southwest,"""><"""
43,2,cCEN_South,cNDC_Northeast,"""><"""
44,2,cCEN_South,cNDC_Southwest,"""><"""
45,2,cCEN_West,cNDC_Northeast,"""!"""
46,2,cCEN_West,cNDC_Midwest,"""!"""
47,2,cCEN_Northeast,cNDC_West,"""!"""
48,2,cCEN_Northeast,cNDC_Midwest,"""!"""
49,2,cCEN_Northeast,cNDC_Southwest,"""!"""
50,2,cCEN_Midwest,cNDC_Northeast,"""!"""
51,2,cCEN_Midwest,cNDC_West,"""!"""
52,2,cCEN_Midwest,cNDC_Southwest,"""!"""
53,2,cCEN_South,cNDC_West,"""!"""
54,2,cCEN_South,cNDC_Midwest,"""!"""
55,2,cCEN_USA,cNDC_Southeast,""">"""
56,2,cCEN_West,cNDC_Southeast,""">"""
57,2,cCEN_Northeast,cNDC_Southeast,"""!"""
58,2,cCEN_Midwest,cNDC_Southeast,"""!"""
59,2,cCEN_South,cNDC_Southeast,"""!"""
60,3,cCEN_West,cNDC_USA,"""<"""
61,3,cCEN_Northeast,cNDC_Northeast,"""<"""
62,3,cCEN_Northeast,cNDC_USA,"""<"""
63,3,cCEN_Midwest,cNDC_USA,"""<"""
64,3,cCEN_South,cNDC_USA,"""<"""
65,3,cCEN_USA,cNDC_USA,"""="""
66,3,cCEN_Midwest,cNDC_Midwest,"""="""
67,3,cCEN_USA,cNDC_Northeast,""">"""
68,3,cCEN_USA,cNDC_West,""">"""
69,3,cCEN_USA,cNDC_Midwest,""">"""
70,3,cCEN_USA,cNDC_Southwest,""">"""
71,3,cCEN_West,cNDC_West,""">"""
72,3,cCEN_West,cNDC_Southwest,"""><"""
73,3,cCEN_South,cNDC_Northeast,"""><"""
74,3,cCEN_South,cNDC_Southwest,"""><"""
75,3,cCEN_West,cNDC_Northeast,"""!"""
76,3,cCEN_West,cNDC_Midwest,"""!"""
77,3,cCEN_Northeast,cNDC_West,"""!"""
78,3,cCEN_Northeast,cNDC_Midwest,"""!"""
79,3,cCEN_Northeast,cNDC_Southwest,"""!"""
80,3,cCEN_Midwest,cNDC_Northeast,"""!"""
81,3,cCEN_Midwest,cNDC_West,"""!"""
82,3,cCEN_Midwest,cNDC_Southwest,"""!"""
83,3,cCEN_South,cNDC_West,"""!"""
84,3,cCEN_South,cNDC_Midwest,"""!"""
85,3,cCEN_USA,cNDC_Southeast,""">"""
86,3,cCEN_West,cNDC_Southeast,"""><"""
87,3,cCEN_South,cNDC_Southeast,"""><"""
88,3,cCEN_Northeast,cNDC_Southeast,"""!"""
89,3,cCEN_Midwest,cNDC_Southeast,"""!"""
